Pressure(bar),Loading(mol/m3)
1e-06,0.0009630000000000001
2.285714286e-06,0.002408
3.571428571e-06,0.003372
4.857142857e-06,0.0057799999999999995
6.142857143e-06,0.001927
7.428571429000001e-06,0.003372
8.714285714e-06,0.003853
1e-05,0.0057799999999999995
2.2857142860000002e-05,0.014931999999999999
3.571428571e-05,0.030345999999999998
4.857142857e-05,0.048168
6.142857142999999e-05,0.040943
7.428571429e-05,0.057802
8.714285714e-05,0.066472
0.0001,0.07177
0.0002285714286,0.186411
0.0003571428571,0.284673
0.0004857142857,0.34825500000000004
0.0006142857143,0.475419
0.0007428571429,0.596803
0.0008714285714000001,0.676762
0.001,0.7591289999999999
0.002285714286,1.872294
0.0035714285710000005,2.808682
0.004857142857,3.9526739999999996
0.006142857142999999,4.872685
0.007428571429,5.803292
0.008714285714,6.925127000000001
0.01,7.886081
0.02285714286,17.947433
0.03571428571,28.050691999999998
0.04857142857,38.631296
0.06142857143,49.138203999999995
0.07428571429,59.657635
0.08714285714,70.858644
0.1,79.629573
0.2285714286,185.409607
0.35714285710000004,293.346127
0.48571428569999997,408.037259
0.6142857143,523.386367
0.7428571429,635.518328
0.8714285714,753.388159
1.0,890.177144
2.285714286,2355.669172
3.571428571,4267.561307999999
4.857142857,6418.824061
6.142857143,8110.983619
7.428571429,9178.638126
8.714285714,9920.760617
10.0,10439.263232
22.85714286,12479.334582
35.714285710000006,13312.971276
48.57142857,13688.778883
61.42857142999999,14033.340422
74.28571429,14282.936048
87.14285714,14391.021843
100.0,14521.340680000001
228.5714286,15247.559113999998
357.1428571,15559.110792
485.7142857,15735.013227000001
614.2857143,15822.374593
742.8571429000001,15962.057868
871.4285714,16038.03685
1000.0,16090.644746
2285.714286,16459.355881
3571.4285710000004,16704.622986000002
4857.142857,17004.493743
6142.857142999999,16863.975378
8714.285714,17077.987613999998
10000.0,17324.656681
22857.14286,18360.735831
35714.28571,18672.785903
48571.42857,19091.528983
61428.57143,18912.915771
74285.71429,19452.061727
87142.85714,19506.165207
